2025-09-07 02:11:28,292 INFO  Logger.cs: 70 - 
--------------------------------------------------------------------------------
2025-09-07 02:11:28,356 INFO  Logger.cs: 71 - Logging commencing for SW2URDF exporter
2025-09-07 02:11:28,361 INFO  Logger.cs: 73 - Commit version 1.6.0-4-g7f85cfe
2025-09-07 02:11:28,362 INFO  Logger.cs: 74 - Build version 1.6.7995.38578
2025-09-07 02:11:28,389 INFO  SwAddin.cs: 192 - Attempting to connect to SW
2025-09-07 02:11:28,392 INFO  SwAddin.cs: 197 - Setting up callbacks
2025-09-07 02:11:28,395 INFO  SwAddin.cs: 201 - Setting up command manager
2025-09-07 02:11:28,397 INFO  SwAddin.cs: 204 - Adding command manager
2025-09-07 02:11:28,403 INFO  SwAddin.cs: 263 - Adding Assembly export to file menu
2025-09-07 02:11:28,406 INFO  SwAddin.cs: 272 - Adding Part export to file menu
2025-09-07 02:11:28,407 INFO  SwAddin.cs: 210 - Adding event handlers
2025-09-07 02:11:28,812 INFO  SwAddin.cs: 217 - Connecting plugin to SolidWorks
2025-09-07 02:37:10,929 INFO  SwAddin.cs: 294 - Assembly export called for file Robobinator
2025-09-07 02:37:10,952 INFO  SwAddin.cs: 299 - Save is required
2025-09-07 02:37:10,953 INFO  SwAddin.cs: 313 - Saving assembly
2025-09-07 02:37:12,357 INFO  SwAddin.cs: 316 - Opening property manager
2025-09-07 02:37:12,549 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from Robobinator
2025-09-07 02:37:12,709 INFO  ExportHelperExtension.cs: 1136 - Found 50 in Robobinator
2025-09-07 02:37:12,712 INFO  ExportHelperExtension.cs: 1145 - Found 1 features of type [CoordSys] in Robobinator
2025-09-07 02:37:12,715 INFO  ExportHelperExtension.cs: 1148 - Proceeding through assembly components
2025-09-07 02:37:12,719 INFO  ExportHelperExtension.cs: 1160 - 8 components to check
2025-09-07 02:37:12,725 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from geipper design-2
2025-09-07 02:37:12,727 INFO  ExportHelperExtension.cs: 1136 - Found 28 in geipper design-2
2025-09-07 02:37:12,733 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in geipper design-2
